Designator	DISTRIBUTOR	DISTRIBUTOR #	MANUFACTURER	MANUFACTURER #	PART	Quantity	DNI	Comment	Description	PART DESCRIPTION	VALUE	TOLERANCE	EE_SPEC
"R26, R154"	""	""	"Visha Dale"	"CRCW040224K0FKEDC"	""	"2"	""	"24K"	"RES SMD 24K OHM 1% 1/16W 0402"	"24 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)  Thick Film"	"24K"	"+/- 1%"	"24k 1% 0402"
"R28, R156"	"Digikey"	"P1.0MJTR-ND"	"Panasonic"	"ERJ2GEJ105X"	"1M 5% 0402"	"2"	""	"1M"	"RES 0402 1M 100mW 5%"	"1M Ohm ±5% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"	"1M"	"5%"	"1/10W"
"R42, R43, R45, R46, R47, R48, R77, R82, R83"	"Digi-Key Electronics"	"YAG3073TR-ND"	"Yageo"	"RC0402FR-0724RL"	"24R 1% 0402"	"9"	""	"24R"	"Res Thick Film 0402 24 Ohm 1% 0.063W"	"24 Ohm ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"	"24R"	"1%"	"1/16W"
"R44, R50, R81, R87, R91, R92"	"Digi-Key Electronics"	"311-2.37KLRTR-ND"	"Yageo"	"RC0402FR-072K37L"	"2.37k 1% 0402"	"6"	""	"2k37"	"RES SMD 2.37K OHM 1% 1/16W 0402"	"2.37k Ohm ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"	"2k37"	"1%"	"1/16W"
"R49"	"Digi-Key Electronics"	"541-6.80KLTR-ND"	"Vishay Dale"	"CRCW04026K80FKED"	"6.8k 1% 0402"	"1"	""	"6.8K"	"RES SMD 6.8K OHM 1% 1/16W 0402"	"6.8k Ohm ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"	"6.8K"	"1%"	"1/16W"
"R57, R157"	"Digikey"	"YAG3273CT-ND"	"Yageo"	"RC0402JR-07130KL"	"130k 1% 0402"	"2"	""	"130k"	"RES SMD 130K OHM 5% 1/16W 0402"	"130 kOhms ±5% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"	"130k"	"1%"	"1/16W"
"R60"	""	""	""	"DNI-R0402TBD"	""	"1"	"DNI"	"R0402TBD"	"Resistor"	""	"R0402TBD"	""	""
"R61"	"Digi-Key Electronics"	"P1.0MJTR-ND"	"Panasonic"	"ERJ2GEJ105X"	"1M 5% 0402"	"1"	"DNI"	"R0402TBD"	"RES 0402 1M 100mW 5%"	"1M Ohm ±5% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"	"1M"	"5%"	"1/10W"
"R101, R171, R182, R183"	"Digi-Key"	"311-100KLRTR-ND"	"Yageo"	"RC0402FR-07100KL"	"100K"	"4"	""	"100K"	"RES 100K OHM 1% 1/16W 0402"	"100k Ohm ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"	"100K"	"+/- 1%"	"100K 1% 0402"
"R103"	"Digikey"	"CR0603-J/-000ELFTR-ND"	"Bourns"	"CR0603-J/-000ELF"	"0R"	"1"	""	"0R"	"RES SMD 0.0OHM JUMPER 1/10W 0603"	"0.0 Ohm Jumper 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"	"0R"	"-NA-"	"0R 0603"
"R107A, R107B, R107C, R107D, R107E, R107F, R107G, R107H"	""	""	"Yageo"	"RC0402JR-072R2L"	""	"8"	""	"2.2R"	"RES SMD 2.2 OHM 5% 1/16W 0402"	"2.2 Ohms ±5% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"	"2.2R"	"+/- 5%"	"2.2R 5% 0402"
"R115"	"Digikey"	"1276-3442-2-ND"	"Samsung"	"RC1005F153CS"	"15K 1% 0402"	"1"	""	"15K"	"RES SMD 15K 1% 1/16W 0402"	"15K Ohm ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"	"15K"	"1%"	"1/16W"
"R148"	"Digikey"	"408-1544-2-ND"	"Susumu"	"KRL1220E-M-R010-F-T5"	"0.01 1% 0.5W 0805"	"1"	""	"0.01R"	"RES 0.01 OHM 1% 1/2W 0805"	"10 mOhms ±1% 0.5W, 1/2W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, Current Sense Metal Foil"	"0.01R"	"1%"	"0.5W"
"R162A, R162B, R162C, R162D, R162E, R162F, R162G, R162H, R169A, R169B, R169C, R169D, R169E, R169F, R169G, R169H"	""	""	"Stackpole"	"CSRN2512FK50L0"	""	"16"	""	"0.05R"	"RES 0.05 OHM 1% 2W 2512"	"50 mOhms ±1% 2W Chip Resistor 2512 (6432 Metric) Current Sense Thick Film"	"0.05R"	"+/- 1%"	"0.05R 1% 2512"
"R172, R173, R184, R185"	"Digi-Key"	"311-1.80KLRTR-ND"	"Yageo"	"RC0402FR-071K8L"	"1.8k"	"4"	""	"1.8K"	"RES SMD 1.8K OHM 1% 1/16W 0402"	"1.8k Ohm ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"	"1.8K"	"+/- 1%"	"1.8k 1% 0402"
"RV1, RV2, RV3, RV4, RV5A, RV5B, RV5C, RV5D, RV5E, RV5F, RV5G, RV5H, RV6A, RV6B, RV6C, RV6D, RV6E, RV6F, RV6G, RV6H, RV7A, RV7B, RV7C, RV7D, RV7E, RV7F, RV7G, RV7H"	""	""	"TDK"	"AVRM0603C6R8NT101N"	""	"28"	""	"AVRM0603C6R8NT101N"	"VARISTOR 6.8V 10A 0201"	"VARISTOR 6.8V 10A 0201"	"6.8V"	"-NA-"	"3.5Vso 100pF"
"S1"	"Mouser"	"506-1571610-2"	"TE"	"1571610-2"	"Tactile Pushbutton"	"1"	""	"1571610-2"	"SWTCH Momentary Washable"	"Tactile Switches R/A SEALED TACT SWITCH"	"-NA-"	"-NA-"	"24V"
"S2"	"Digi-Key Electronics"	"CKN10688TR-ND"	"C&K"	"KMR741NG ULC LFS"	"Tactile Pushbutton SMT"	"1"	""	"KMR741NG ULC LFS"	"SWITCH TACTILE SPST-NO 0.05A 12V"	"Tactile Switch SPST-NO Top Actuated Surface Mount"	"-NA-"	"-NA-"	"32V 50mA"
"U1"	"Digikey"	"296-40801-2-ND"	"TI"	"TPS54531DDAR"	"TPS54531"	"1"	""	"TPS54531"	"IC REG BUCK ADJ 5A 8SOPWRPAD"	"Buck Switching Regulator IC Positive Adjustable 0.8V 1 Output 5A 8-PowerSOIC (0.154", 3.90mm Width)"	"TPS54531"	""	"28Vin_max, 5A, 570kHz"
"U2, U10"	"Digikey, Digi-Key Electronics"	"296-13910-2-ND"	"Texas Instruments"	"SN74AHCT125RGYR"	"IC BUS BUFFER TRI-ST QD 14VQFN"	"2"	""	"SN74AHCT125RGYR"	"Quadruple Bus Buffer Gates With 3-State Outputs 14-VQFN -40 to 125"	"Buffer, Non-Inverting 4 Element 1 Bit per Element Push-Pull Output 14-VQFN (3.5x3.5)"	"Tri-State Buffer"	"-NA-"	"5V 8mA"
"U3, U4, U5, U7"	"Digi-Key Electronics"	"ZXGD3009E6TADITR-ND"	"Diodes Incorporated"	"ZXGD3009E6TA"	"IC GATE DRVR IGBT/MOSFET SOT23-6"	"4"	""	"ZXGD3009E6"	"MOSFET DRVR 3A 1-OUT High Speed Non-Inv6-Pin SOT-26 T/R"	"Low-Side Gate Driver IC Non-Inverting SOT-26"	"ZXGD3009E6"	"-NA-"	"40V 2A"
"U6, U21"	"DIGI-KEY"	"AP331AWGDITR-ND"	"TEXAS INSTRUMENTS"	"AP331AWG-7"	"AP331A"	"2"	""	"AP331A"	"IC QUAD DIFF COMPARATOR 14 -SOIC"	""	"AP331A"	""	""
"U8"	"Digi-Key Electronics"	"576-3680-2-ND"	"Microchip"	"MIC5353-3.3YMT-TR"	"IC REG LDO 3.3V 0.5A 6TMLF"	"1"	""	"MIC5353-3.3YMT-TR"	"LDO 3.3V 500mA - low ESR Cout"	"Linear Voltage Regulator IC Positive Fixed 1 Output 3.3V 500mA 6-TMLF® (1.6x1.6)"	"3.3V LDO"	"-NA-"	"500mA"
"U9"	"Digi-Key Electronics"	"ADUM3160BRWZ-RLTR-ND"	"Analog Devices"	"ADUM3160BRWZ-RL"	"IC DGTL ISO 2.5KV 2CH USB 16SOIC"	"1"	""	"ADuM3160"	"USB Opto Isolator"	"USB Digital Isolator 2500Vrms 2 Channel 12Mbps 25kV/µs CMTI 16-SOIC (0.295", 7.50mm Width)"	"USB ISO"	"-NA-"	"2500V ISO"
"U11"	"Digi-Key Electronics"	"ATSAM3X8EA-AU-ND"	"Atmel"	"ATSAM3X8EA-AU"	"IC MCU 32BIT 512KB FLASH 144LQFP"	"1"	""	"ATSAM3X8EA-AU"	"Atmel"	"ARM® Cortex®-M3 SAM3X Microcontroller IC 32-Bit 84MHz 512KB (512K x 8) FLASH 144-LQFP (20x20)"	"-NA-"	"-NA-"	"3.3V"
"U12"	""	""	"Adesto"	"AT25SF161-SSHD-T"	""	"1"	""	"AT25SF161-SSHD-T"	"IC FLASH 16M SPI 104MHZ 8SOIC"	"IC FLASH 16M SPI 104MHZ 8SOIC"	"16Mb"	"-NA-"	"3.3V"
"U13A, U13B, U13C, U13D, U13E"	""	""	"Maxim"	"MAX31856MUD"	"MAX31856"	"5"	""	"MAX31856"	"IC CONV THERMOCOUPLE 14TSSOP"	""	""	""	""
"U14"	"Digikey"	"296-4708-2-ND"	"Nexperia"	"74AVC9112GTX"	"74AVC9112GTX"	"1"	""	"74AVC9112"	"Clock Fanout Buffer (Distribution) IC 1:4  8-XFDFN"	"Clock Fanout Buffer (Distribution) IC 1:4  8-XFDFN"	"74AVC9112"	"-NA-"	"Clock Buffer 1:4 3.6V"
"U15A, U15B, U15C, U15D, U15E, U15F, U15G, U15H"	""	""	"Trinamic"	"TMC5160-TA"	""	"8"	""	"TMC5160-TA"	"IC STEPPER MOTOR DVR TQFP48-EP"	"IC STEPPER MOTOR DVR TQFP48-EP"	"TMC5160-TA"	""	"60V 1/256 Step"
"U16, U17"	"Digikey"	"296-13961-2-ND"	"TI"	"SN74LVC125ARGYR"	"IC BUS BUFF TRI-ST QD 14VQFN"	"2"	""	"SN74LVC125A"	"IC BUS BUFF TRI-ST QD 14VQFN"	"Buffer, Non-Inverting 4 Element 1 Bit per Element Push-Pull Output 14-VQFN (3.5x3.5)"	"SN74LVC125A"	"-NA-"	"1.65-3.6Vcc, 5V tolerant inputs"
"U18"	"Digi-Key Electronics"	"TLP293(TPLETR-ND"	"TOSHIBA"	"TLP293(TPL,E"	"Opto-Isolator 3.75kV"	"1"	""	"TLP293"	"Optoisolator Transistor Output 3750Vrms 1 Channel 4-SO"	"Optoisolator Transistor Output 3750Vrms 1 Channel 4-SO"	"-NA-"	"-NA-"	"3.75kV Isolation"
"U19"	"Digikey"	"296-49078-2-ND"	"TI"	"INA381A2IDSGR"	"INA381A2"	"1"	""	"INA381A2"	"IC COMPARATOR BIDIR 8WSON"	""	"INA381A2"	"-NA-"	"Vcc 2.7-5.5V; Vcm 26V"
"U20"	"Digikey"	"497-1181-2-ND"	"ST"	"L78L05ABUTR"	"IC REG LINEAR 5V 100MA SOT89-3"	"1"	""	"78L05"	"IC REG LINEAR 5V 100MA SOT89-3"	"Linear Voltage Regulator IC Positive Fixed 1 Output 5V 100mA SOT-89-3"	"5V LDO"	"-NA-"	"Vin 30V, Iout 0.1A"
"X1"	"Digi-Key Electronics"	"CTX639TR-ND"	"CTS"	"405C35B12M00000"	"12MHz XTAL"	"1"	""	"12MHz"	"Crystal 12MHz ±30ppm (Tol) ±50ppm (Stability) 13pF FUND 50Ohm"	"12MHz ±30ppm Crystal 13pF 60 Ohm -20°C ~ 70°C Surface Mount 4-SMD, No Lead (DFN, LCC)"	"12MHz"	"+/- 30ppm"	"-NA-"
